emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	7		0079-03		0080-01-01	TRUE	since mid March 79 AD	https://godot.date/id/feJuQvKygups7FEamJ2qf6			
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	7		0080-01-01	0080-01-13	0081-03			https://godot.date/id/QfwrHhGgTZEXAC96jqi9pW	https://godot.date/id/HDDPCs4vpafN6P3mBhBqmD		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	8		0081-03		0082-01-01	TRUE	since mid March 81 AD	https://godot.date/id/96K6cagzA5j4opgwBSeWYm			
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	8		0082-01-01	0082-01-31	0082-03	TRUE		https://godot.date/id/EZEBvufxx4dv5eHAdYK3kK	https://godot.date/id/X9aAurfNcQwjt73JKzWomC		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	9		0082-03		0083-01-01	TRUE	since mid March 82 AD	https://godot.date/id/sUji5WXtwNxQwnkHfbiVh3			
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	9		0083-01-01	0083-01-31	0083-03	TRUE		https://godot.date/id/JRMMyrL8BNVcnq79Dq3yb6	https://godot.date/id/kdovyjqtvaF92hiSTxoxtT		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	10		0083-03		0084-01-01	TRUE	since mid March 83 AD	https://godot.date/id/YPi7krPzpYYK6ERC3Z9PXb			
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	10		0084-01-01	0084-02	0085-01-01	TRUE	until end of February 84 AD	https://godot.date/id/uSbcJUjrQTvDqshz7dx6Qn	https://godot.date/id/YLGP2pU45LWCmpxcHxtFaj		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	11		0085-01-01	0085-02	0086-01-01	TRUE	until end of February 85 AD	https://godot.date/id/6mm7X7oZBENP92KutCpv6W	https://godot.date/id/jsLzzuYJomheZoBDLTs48b		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	12		0086-01-01	0086-01-13	0087-01-01			https://godot.date/id/Y9eNwoz35iDSLDBhE7SBy6	https://godot.date/id/g2rCm4XNu99juWETTRR6db		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	13		0087-01-01	0087-01-13	0088-01-01			https://godot.date/id/eaW2vXRqcEyA9VSKCmY8u3	https://godot.date/id/qkLCFmTvGJFYWhu2ibzTHk		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	14		0088-01-01	0088-01-13	0090-01-01			https://godot.date/id/p3XpFR23SRica4WZBQgEmP	https://godot.date/id/fcrmyVLzDf6eJma9TscRZQ		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	15		0090-01-01	0090-01-13	0092-01-01			https://godot.date/id/g6eq3rFjg4SSVx7DPqnNcZ	https://godot.date/id/7YsEPCykd5xUderr6UiNGb		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	16		0092-01-01	0092-01-13	0095-01-01			https://godot.date/id/9U6aS9WJp6RRatiCXn8JQA	https://godot.date/id/8z8JNuLf453uFTmxkumAKX		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	17		0095-01-01	0095-01-13	0096-09-18			https://godot.date/id/hW8tyEUVpLBTpZtYhiXhaQ	https://godot.date/id/FgPxWerUFqhpASBADHkNzf		
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	1		0071-01-01	0071-02-28	0090-01-01	TRUE		https://godot.date/id/xaWUPPfigu4dzGLUZURiym	https://godot.date/id/t6mAC33sNRt9z8APpg5QGA		
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	2		0090-01-01	0090-02-28	0096-10-10	TRUE		https://godot.date/id/LgCaYUxNvhyF4WYdcXZpAZ	https://godot.date/id/7YsEPCykd5xUderr6UiNGb ; https://godot.date/id/Y4q5kbgcVR6eGyMCe6qjNe		
Nerva	https://www.wikidata.org/wiki/Q1424	cos. design.	3		0096-10-10		0097-01-01	TRUE		https://godot.date/id/QTs5TYmMZurD8hgqfHDSz7			
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	3		0097-01-01	0097-02-28	0097	TRUE		https://godot.date/id/ar3u3T4g9YZzSsT3CE43ZP	https://godot.date/id/omR9Cm437MxSVp6fFnRRJE		
Nerva	https://www.wikidata.org/wiki/Q1424	cos. design.	4		0097		0098-01-01	TRUE	end of year 97 AD	https://godot.date/id/uyt2rBV5CAPGFkq4Nu2dW3			
